condition,frame,canonical_filename,original_filename,old_postimages_url,size_kb
LIBRARY_FU,2,LIBRARY_FU_02.jpg,IMG-0304.jpg,https://i.postimg.cc/dQy1nRG0/IMG-0304.jpg,155.6
LIBRARY_FU,3,LIBRARY_FU_03.jpg,IMG-0305.jpg,https://i.postimg.cc/QNTtSgc5/IMG-0305.jpg,149.2
LIBRARY_FU,4,LIBRARY_FU_04.jpg,IMG-0299.jpg,https://i.postimg.cc/c1nHT7f1/IMG-0299.jpg,156.4
LIBRARY_FU,5,LIBRARY_FU_05.jpg,IMG-0300.jpg,https://i.postimg.cc/449dwvpx/IMG-0300.jpg,157.8
LIBRARY_NE,1,LIBRARY_NE_01.jpg,Library-NE-frame-01-asks-to-return-book-subtitle.png,https://i.postimg.cc/cLwPnyvq/Library-NE-frame-01-asks-to-return-book-subtitle.png,152.5
LIBRARY_NE,2,LIBRARY_NE_02.jpg,Library-NE-frame-02-library-card-handover-subtitle.png,https://i.postimg.cc/7YmntKjZ/Library-NE-frame-02-library-card-handover-subtitle.png,145.6
LIBRARY_NE,3,LIBRARY_NE_03.jpg,Library-NE-frame-03-due-date-passed-subtitle.png,https://i.postimg.cc/FH3wL57M/Library-NE-frame-03-due-date-passed-subtitle.png,152.9
LIBRARY_NE,4,LIBRARY_NE_04.jpg,Library-NE-frame-04-one-day-late-okay-subtitle.png,https://i.postimg.cc/K8BCMSRp/Library-NE-frame-04-one-day-late-okay-subtitle.png,128.3
LIBRARY_NE,5,LIBRARY_NE_05.jpg,Library-NE-frame-05-interaction-finished-no-subtitle.png,https://i.postimg.cc/k5CzN1bZ/Library-NE-frame-05-interaction-finished-no-subtitle.png,121.5
LIBRARY_NU,1,LIBRARY_NU_01.jpg,Library-NU-custom-frame-01-00-05.png,https://i.postimg.cc/8ctJP0VH/Library-NU-custom-frame-01-00-05.png,140.6
LIBRARY_NU,2,LIBRARY_NU_02.jpg,Library-NU-custom-frame-02-00-09.png,https://i.postimg.cc/br3DNBj9/Library-NU-custom-frame-02-00-09.png,142.4
LIBRARY_NU,3,LIBRARY_NU_03.jpg,Library-NU-custom-frame-03-00-15-no-subtitle.png,https://i.postimg.cc/4yB7NSTw/Library-NU-custom-frame-03-00-15-no-subtitle.png,163.9
LIBRARY_NU,4,LIBRARY_NU_04.jpg,Library-NU-custom-frame-04-00-25.png,https://i.postimg.cc/D0BJyMK6/Library-NU-custom-frame-04-00-25.png,166.6
LIBRARY_NU,5,LIBRARY_NU_05.jpg,Library-NU-custom-frame-05-00-31-no-subtitle.png,https://i.postimg.cc/cCXg4bND/Library-NU-custom-frame-05-00-31-no-subtitle.png,157.0
STUDYROOM_FE,1,STUDYROOM_FE_01.jpg,Studyroom-FE-v3-frame-01-studying-together-no-subtitle.png,https://i.postimg.cc/05Fp7G0L/Studyroom-FE-v3-frame-01-studying-together-no-subtitle.png,91.5
STUDYROOM_FE,2,STUDYROOM_FE_02.jpg,Studyroom-FE-v3-frame-02-says-get-coffee-books-subtitle.png,https://i.postimg.cc/FF8j0bVM/Studyroom-FE-v3-frame-02-says-get-coffee-books-subtitle.png,98.2
STUDYROOM_FE,3,STUDYROOM_FE_03.jpg,Studyroom-FE-v3-frame-03-at-door-exiting-no-subtitle.png,https://i.postimg.cc/v8kW57vR/Studyroom-FE-v3-frame-03-at-door-exiting-no-subtitle.png,84.8
